,corr_shap,corr_ti,perform
15,-0.9066227642766127,-0.9066227642766127,0.5787654554038961
67,-0.8687352385441265,-0.8661139461627877,0.5011053048517817
13,-0.8671427309986698,-0.8720290435665856,1.8791290247962191
43,-0.8659685342014212,-0.8656670059060229,0.5182730579017663
48,-0.851288789444476,-0.8515132343366486,0.5975288037200378
37,-0.8490756265617772,-0.8517586026104946,0.11041549555687769
79,-0.8483490919078323,-0.8529255679455549,0.5193432974989731
54,-0.844254976072771,-0.843044928814508,0.4475196665356332
42,-0.8368088307706505,-0.8365721815478042,0.5092963849117975
74,-0.8233971213049489,-0.8229933631154009,0.9761609420911439
22,-0.8088569473456917,-0.7931881151789639,0.4295455836141683
62,-0.8081574536492235,-0.7757907085202665,0.6659922506188238
40,-0.8074803033001337,-0.8078118615219197,0.38710122703188515
70,-0.805078175244083,-0.8048593997213674,0.9798865966010595
77,-0.8024115503448794,-0.7898894097960617,0.5468161362471501
71,-0.7904934185884187,-0.7876059827265511,0.5206638325123915
24,-0.7803776479295347,-0.7801152454166564,0.44888697653401816
33,-0.7509552145538609,-0.7337795626577109,0.5310897816909184
73,-0.7392596066429276,-0.6963457560367031,2.245008018494931
82,-0.7385593850549904,-0.7413051217196795,0.7117126230802445
23,-0.7194873094584041,-0.7084824372232216,0.557685158879919
14,-0.6907670185754131,-0.7053291363432947,1.6112611684205909
28,-0.6812286871533765,-0.677131564138374,0.5803368619095929
18,-0.6732255651984214,-0.6732668616283474,0.5483573796657562
88,-0.6593208625675941,-0.6643188514706434,0.7560352446574933
32,-0.6502151206696094,-0.6635725963608441,0.2356003712887541
20,-0.6410305396643313,-0.6481754761094737,0.0783170445540312
26,-0.6368851056750346,-0.6464558347969824,0.46970513371218603
72,-0.6363490475510587,-0.644475760325031,1.3839494849658553
76,-0.62700643404016,-0.6126740444876673,0.39950883348229344
63,-0.6223844144312711,-0.6346465335937591,0.9202632274271829
11,-0.6058879706413287,-0.5693323894970842,0.8520424694127131
36,-0.5993076628954737,-0.5953865610061168,0.5570526505546822
66,-0.5837901318676278,-0.6012393705297511,0.10018103796165101
5,-0.5730946871576202,-0.5754691098684008,0.6040830280350409
39,-0.5725814521165471,-0.5866823298532994,0.4897958785341984
65,-0.5720139201606607,-0.5773495323228417,0.5499534222324424
30,-0.5674724963817162,-0.509100066324149,0.16377929730231677
25,-0.5476965769214198,-0.556001594934743,3.490317728509624
3,-0.5446441078933634,-0.5698752871945039,1.1931171537374445
44,-0.5429236081862531,-0.5170476199085822,1.2327082132730065
58,-0.539817494731208,-0.495547058612433,0.1608869046468981
31,-0.530011241704943,-0.5140526474102152,0.37496424231981235
89,-0.5260096148000711,-0.5193696003635169,0.13778039923590518
59,-0.5235956357191015,-0.5311462373008132,0.6512868167307233
7,-0.5171123088655573,-0.5077578606995873,0.5631188425042021
78,-0.5024754479677243,-0.4928786161886763,0.22278416765350983
91,-0.495745224277135,-0.5025324845884843,1.4785891579662007
16,-0.49203143266023014,-0.47966374584280635,0.5930052008790572
80,-0.4827819540981232,-0.4922682490568827,2.3320805403900646
4,-0.47184022779365803,-0.4788054414227827,0.6539416474656091
51,-0.4619503853964424,-0.47405099331466594,0.4881959353554903
21,-0.461256454529572,-0.4717683254238585,0.578158500721596
10,-0.44992702328859363,-0.44892621639992003,0.526147486952353
9,-0.43888121815276515,-0.4427189859873291,0.6999003779675351
61,-0.4321504286801463,-0.43953852019444967,2.209783722069489
69,-0.4201329034561065,-0.40333954535087985,1.4146425648595962
86,-0.41935392343737404,-0.421354492941124,0.5562855550331003
