,tree_num,feature,value
0,0,x2,0.06587967789429428
1,0,x1,0.0699135821845438
3,0,x5,0.06843969635842961
6,0,x5,0.04600004876295427
8,0,x1,0.08264337797321553
11,1,x2,0.07555698950551437
12,1,x1,0.041115034713467
16,2,x2,0.04904278590741118
17,2,x4,0.031632572800535
19,2,x4,0.033519914531627726
22,2,x1,0.032342783601507996
23,2,x1,0.03164763808697424
27,3,x2,0.058985591169485874
28,3,x1,0.0357901764728672
29,3,x5,0.036656115153960944
32,3,x1,0.1596025217966307
35,3,x4,0.03344208484387179
36,3,x5,0.03647830114936279
40,4,x2,0.0508159677483766
41,4,x4,0.05519315398085467
43,4,x4,0.02990531238050953
46,4,x1,0.020702395188040512
47,4,x1,0.041061390576115464
50,4,x4,0.2580186686648155
53,5,x2,0.04745107216931199
54,5,x1,0.04104813074968072
55,5,x5,0.03666282933081122
59,5,x1,0.023479080647681894
60,5,x1,0.026951799203758453
63,5,x5,0.24988229283318544
66,6,x2,0.0784513188135263
67,6,x5,0.032090952018295926
68,6,x5,0.038919412014361554
71,6,x4,0.1564941234745767
75,7,x2,0.054439683521225635
76,7,x1,0.047755840515466774
79,7,x1,0.02596299913804334
80,7,x1,0.03923562316269069
83,7,x5,0.29396774335905346
86,8,x2,0.06859834942217358
87,8,x1,0.049187128152582305
91,9,x2,0.06503117248412726
92,9,x4,0.059769463471780804
94,9,x5,0.04235439695462817
97,9,x5,0.024611391604528743
98,9,x1,0.06252127451284217
102,10,x2,0.05143938601673814
103,10,x1,0.04570630832822509
104,10,x5,0.036416127679063215
107,10,x1,0.2555575344848594
110,10,x4,0.030829312428470645
112,10,x5,0.06467041750286295
115,11,x2,0.04897554938073001
116,11,x1,0.0404012182197967
117,11,x5,0.03473715527026899
122,12,x2,0.036726609394762466
123,12,x1,0.059865381477382074
126,12,x4,0.048139527337558885
127,12,x5,0.015386895556627422
131,13,x2,0.04286475456550509
132,13,x1,0.04255594986817335
133,13,x5,0.0781498437573066
